no_can;chapitre;designation
586 214 643;586;Ligne d'alimentation avec 4 fibres (dont 2 de réserve) avec prise pour FTTx dans point étoile, préconfectionnée côté prise, pour tubes déjà existants, longueur de ligne plus de 90 à 100m
586 214 651;586;Ligne d'alimentation avec 1 fibre avec prise pour FTTx dans point étoile, préconfec- tionnée des deux côtés, longueur de ligne jusqu'à 10m
586 214 652;586;Ligne d'alimentation avec 1 fibre avec prise pour FTTx dans point étoile, préconfec- tionnée des deux côtés, longueur de ligne plus de 10 à 20m
586 214 653;586;Ligne d'alimentation avec 1 fibre avec prise pour FTTx dans point étoile, préconfec- tionnée des deux côtés, longueur de ligne plus de 20 à 30m
586 214 654;586;Ligne d'alimentation avec 1 fibre avec prise pour FTTx dans point étoile, préconfec- tionnée des deux côtés, longueur de ligne plus de 30 à 40m
586 214 655;586;Ligne d'alimentation avec 1 fibre avec prise pour FTTx dans point étoile, préconfec- tionnée des deux côtés, longueur de ligne plus de 40 à 50m
586 214 661;586;Ligne d'alimentation avec 1 fibre avec prise pour FTTx dans point étoile, préconfec- tionnée des deux côtés, pour tubes déjà existants, longueur de ligne jusqu'à 10m
586 214 662;586;Ligne d'alimentation avec 1 fibre avec prise pour FTTx dans point étoile, préconfec- tionnée des deux côtés, pour tubes déjà existants, longueur de ligne plus de 10 à 20m
586 214 663;586;Ligne d'alimentation avec 1 fibre avec prise pour FTTx dans point étoile, préconfec- tionnée des deux côtés, pour tubes déjà existants, longueur de ligne plus de 20 à 30m
586 214 664;586;Ligne d'alimentation avec 1 fibre avec prise pour FTTx dans point étoile, préconfec- tionnée des deux côtés, pour tubes déjà existants, longueur de ligne plus de 30 à 40m
586 214 665;586;Ligne d'alimentation avec 1 fibre avec prise pour FTTx dans point étoile, préconfec- tionnée des deux côtés, pour tubes déjà existants, longueur de ligne plus de 40 à 50m
586 216 111;586;Installation dans point étoile DSL, comprenant: - 1 Router ou similaire (M+R), - 1 distributeur 5xRJ45, Mise en service non comprise à appliquer: 502111
586 216 121;586;Installation dans point étoile FTTx, comprenant: - 1 terminal réseau (M+R), Mise en service non comprise à appliquer: 502111
586 217 301;586;Tube vide jusqu'à M25 avec auxiliaire de tirage et boîte d'encastrement avec plaque de recouvrement, pour courant faible
586 411 311;586;Ligne alimentation R/TV
586 411 411;586;Inst dans point étoile R/TV
586 411 511;586;Ligne avec prise R/TV
586 412 331;586;Ligne alimentation SAT du
586 412 511;586;Ligne avec prise SAT
586 412 512;586;Ligne avec prise SAT
586 412 611;586;Installation distributeur
586 412 711;586;Inst point étoile SAT de base
586 421 511;586;Ligne avec prise multimédia
586 421 512;586;Ligne avec prise multimédia
586 421 513;586;Ligne avec prise multimédia
586 421 516;586;Ligne avec prise multimédia pour FTTx 1xLC
586 421 526;586;Ligne avec prise multimédia pour FTTx 1xLC, pour tubes déjà existants
