categorie;ensemble;couleur;code_couleur;fnr_complet;e_no_complet;designation_complet;piece;qte;fnr_piece;e_no_piece;designation_piece
PRISE;Prise 3xT13 avec shutter;gris fonce;67;87303.FMI.K.67;657125040;Prise ENC EDIZIOdue 3×T13 gris foncé avec shutter;interieur;1;87303.BSM;653715000;Intérieur prise FH BSM 3×T13
PRISE;Prise 3xT13 avec shutter;gris fonce;67;87303.FMI.K.67;657125040;Prise ENC EDIZIOdue 3×T13 gris foncé avec shutter;kit_frontal;1;920-87303.FMI.K.67;378513040;Kit frontal EDIZIOdue gris foncé 88×88mm 3×T13 avec shutter
PRISE;Prise 3xT13 avec shutter;coffee;57;87303.FMI.K.57;657125890;Prise ENC EDIZIOdue 3×T13 coffee avec shutter;interieur;1;87303.BSM;653715000;Intérieur prise FH BSM 3×T13
PRISE;Prise 3xT13 avec shutter;coffee;57;87303.FMI.K.57;657125890;Prise ENC EDIZIOdue 3×T13 coffee avec shutter;kit_frontal;1;920-87303.FMI.K.57;378513890;Kit frontal EDIZIOdue coffee 88×88mm 3×T13 avec shutter
PRISE;Prise 3xT13 dont 1 commutee;blanc;61;87303.FMI.S.61;657135000;Prise ENC EDIZIOdue 3×T13 blanc 1×S;interieur;1;87303.BSM.S;653716000;Intérieur prise FH BSM 3×T13/1S
PRISE;Prise 3xT13 dont 1 commutee;blanc;61;87303.FMI.S.61;657135000;Prise ENC EDIZIOdue 3×T13 blanc 1×S;kit_frontal;1;920-87303.FMI.S.61;378530000;Kit frontal EDIZIOdue blanc 88×88mm 3×T13/1
PRISE;Prise 3xT13 dont 1 commutee;noir;60;87303.FMI.S.60;657135950;Prise ENC EDIZIOdue 3×T13 noir 1×S;interieur;1;87303.BSM.S;653716000;Intérieur prise FH BSM 3×T13/1S
PRISE;Prise 3xT13 dont 1 commutee;noir;60;87303.FMI.S.60;657135950;Prise ENC EDIZIOdue 3×T13 noir 1×S;kit_frontal;1;920-87303.FMI.S.60;378530950;Kit frontal EDIZIOdue noir 88×88mm 3×T13/1
PRISE;Prise 3xT13 dont 1 commutee;crema;35;87303.FMI.S.35;657135010;Prise ENC EDIZIOdue 3×T13 crema 1×S;interieur;1;87303.BSM.S;653716000;Intérieur prise FH BSM 3×T13/1S
PRISE;Prise 3xT13 dont 1 commutee;crema;35;87303.FMI.S.35;657135010;Prise ENC EDIZIOdue 3×T13 crema 1×S;kit_frontal;1;920-87303.FMI.S.35;378530010;Kit frontal EDIZIOdue crema 88×88mm 3×T13/1
PRISE;Prise 3xT13 dont 1 commutee;gris clair;65;87303.FMI.S.65;657135030;Prise ENC EDIZIOdue 3×T13 gris clair, 1×S;interieur;1;87303.BSM.S;653716000;Intérieur prise FH BSM 3×T13/1S
PRISE;Prise 3xT13 dont 1 commutee;gris clair;65;87303.FMI.S.65;657135030;Prise ENC EDIZIOdue 3×T13 gris clair, 1×S;kit_frontal;1;920-87303.FMI.S.65;378530030;Kit frontal EDIZIOdue gris clair 88×88mm 3×T13/1
PRISE;Prise 3xT13 dont 1 commutee;gris fonce;67;87303.FMI.S.67;657135040;Prise ENC EDIZIOdue 3×T13 gris foncé, 1×S;interieur;1;87303.BSM.S;653716000;Intérieur prise FH BSM 3×T13/1S
PRISE;Prise 3xT13 dont 1 commutee;gris fonce;67;87303.FMI.S.67;657135040;Prise ENC EDIZIOdue 3×T13 gris foncé, 1×S;kit_frontal;1;920-87303.FMI.S.67;378530040;Kit frontal EDIZIOdue gris foncé 88×88mm 3×T13/1
